Date,Open,High,Low,Close,Volume
12/19/2024,"161.72","163.10","152.50","154.49","2,194,124"
12/18/2024,"167.00","167.10","160.01","161.72","1,767,041"
12/17/2024,"158.06","167.10","157.71","163.55","3,255,283"
12/16/2024,"162.00","162.75","158.55","159.63","4,109,609"
12/13/2024,"169.00","169.40","160.62","162.03","2,530,295"
12/12/2024,"164.00","170.00","164.00","169.41","3,035,039"
12/11/2024,"163.60","166.45","161.10","164.14","1,676,345"
12/10/2024,"167.00","168.45","161.44","163.80","3,169,807"
12/09/2024,"170.01","171.98","166.24","167.12","3,592,330"
12/06/2024,"175.00","177.25","173.05","174.16","3,748,921"
12/05/2024,"173.80","176.90","170.87","174.52","5,266,009"
12/04/2024,"178.16","179.00","172.80","173.77","4,623,087"
12/03/2024,"182.45","182.45","175.11","178.24","3,401,122"
12/02/2024,"182.35","184.79","177.75","182.44","3,552,010"
11/29/2024,"178.00","182.90","172.50","181.00","4,003,513"
11/28/2024,"175.26","182.40","171.75","177.44","9,935,745"
11/27/2024,"159.97","169.96","158.50","169.96","16,437,721"
11/26/2024,"147.74","161.90","144.10","154.51","15,664,430"
11/25/2024,"145.20","154.69","145.00","147.18","8,325,904"
11/22/2024,"135.50","148.39","135.50","144.70","19,337,971"
11/21/2024,"134.10","135.90","133.51","134.90","2,979,799"
11/20/2024,"138.50","140.98","133.51","134.09","4,070,058"
11/19/2024,"138.75","141.00","137.60","138.27","1,966,284"
11/18/2024,"134.20","139.60","132.05","138.35","2,788,981"
11/15/2024,"131.00","135.00","131.00","133.87","2,916,396"
11/14/2024,"125.50","130.99","125.25","130.53","2,093,410"
11/13/2024,"125.50","125.90","124.40","125.35","1,150,637"
11/12/2024,"128.00","128.00","125.00","125.49","1,043,642"
11/11/2024,"130.94","130.94","127.01","127.44","1,128,150"
11/08/2024,"129.51","130.94","128.46","128.95","1,166,098"
11/07/2024,"131.75","132.40","129.00","129.58","1,417,473"
11/06/2024,"130.44","132.01","129.51","131.42","518,233"
11/05/2024,"131.51","131.51","129.76","130.44","702,163"
11/04/2024,"133.90","134.99","131.50","132.02","443,202"
11/01/2024,"130.49","134.90","130.05","133.93","942,345"
10/31/2024,"137.00","137.00","130.00","130.75","3,432,757"
10/30/2024,"140.00","140.50","136.10","136.98","619,331"
10/29/2024,"139.40","141.85","139.01","139.77","1,472,662"
10/28/2024,"138.50","141.50","138.50","139.86","3,452,345"
10/25/2024,"137.15","139.74","137.15","138.77","3,277,897"
10/24/2024,"136.97","139.89","135.00","138.25","4,238,144"
10/23/2024,"135.92","139.32","134.50","138.74","3,975,976"
10/22/2024,"135.20","138.00","135.11","135.28","1,433,632"
10/21/2024,"134.02","135.48","133.50","135.22","1,067,275"
10/18/2024,"132.26","134.95","131.60","134.02","1,812,545"
10/17/2024,"135.75","135.75","132.25","134.08","1,650,771"
10/16/2024,"137.95","139.50","134.01","134.84","2,452,858"
10/15/2024,"135.25","137.98","134.61","137.25","674,825"
10/14/2024,"136.80","137.00","135.00","135.37","1,370,755"
10/11/2024,"137.50","138.90","134.79","136.05","4,278,696"
10/10/2024,"140.94","140.94","136.66","137.64","2,862,475"
10/09/2024,"140.11","144.00","139.00","140.23","5,628,651"
10/08/2024,"128.75","140.60","128.75","137.75","10,525,880"
10/07/2024,"129.00","129.81","128.25","129.10","2,489,854"
10/04/2024,"128.27","131.25","127.60","129.44","2,129,048"
10/03/2024,"126.05","129.80","125.57","128.19","7,029,524"
10/02/2024,"124.75","127.00","123.10","126.62","4,590,754"
10/01/2024,"127.01","128.87","124.10","124.94","1,360,816"
09/30/2024,"128.50","128.89","123.60","127.04","2,427,707"
09/27/2024,"128.00","129.65","127.60","127.86","2,536,054"
09/26/2024,"130.00","132.40","128.15","128.80","4,352,809"
09/25/2024,"128.99","130.20","127.05","129.45","3,701,632"
09/24/2024,"128.95","129.40","126.28","128.43","4,258,144"
09/23/2024,"128.00","129.38","126.41","128.31","6,578,961"
09/20/2024,"119.25","129.97","119.25","127.85","16,166,840"
09/19/2024,"116.70","122.10","116.01","119.67","3,631,265"
09/18/2024,"115.55","116.90","115.55","116.26","904,474"
09/16/2024,"114.90","116.45","114.55","116.00","238,665"
